,sequences,sequence_tok
4192,"First Last week , the incidence rate of Morbihan has decreased to 143,7 cases per 100 000 population .","['First', 'Last', 'week', ',', 'the', 'incidence', 'rate', 'of', 'Morbihan', 'has', 'decreased', 'to', '143,7', 'cases', 'per', '100', '000', 'population', '.']"
4193,"Therefore , this is the first report of cowpea as the natural host of BrYV in China , which has important implications for the production of Leguminosae sp .","['Therefore', ',', 'this', 'is', 'the', 'first', 'report', 'of', 'cowpea', 'as', 'the', 'natural', 'host', 'of', 'BrYV', 'in', 'China', ',', 'which', 'has', 'important', 'implications', 'for', 'the', 'production', 'of', 'Leguminosae', 'sp', '.']"
4194,"Ebola virus disease is a serious , often fatal , disease that affects humans and other primates .","['Ebola', 'virus', 'disease', 'is', 'a', 'serious', ',', 'often', 'fatal', ',', 'disease', 'that', 'affects', 'humans', 'and', 'other', 'primates', '.']"
4195,"Already in circulation in Belgium and Luxembourg this case has just been confirmed "" in a backyard in the commune of Vandy "" , close to the first contaminated bass court , near Vouziers , while the disease "" has been circulating in Belgium for a few weeks "" , bordering , "" And Luxembourg , "" the prefecture said .","['Already', 'in', 'circulation', 'in', 'Belgium', 'and', 'Luxembourg', 'this', 'case', 'has', 'just', 'been', 'confirmed', '""', 'in', 'a', 'backyard', 'in', 'the', 'commune', 'of', 'Vandy', '""', ',', 'close', 'to', 'the', 'first', 'contaminated', 'bass', 'court', ',', 'near', 'Vouziers', ',', 'while', 'the', 'disease', '""', 'has', 'been', 'circulating', 'in', 'Belgium', 'for', 'a', 'few', 'weeks', '""', ',', 'bordering', ',', '""', 'And', 'Luxembourg', ',', '""', 'the', 'prefecture', 'said', '.']"
4196,But it is important to get treatment quickly after you notice symptoms that are all the more difficult to treat as the disease spreads throughout the body .,"['But', 'it', 'is', 'important', 'to', 'get', 'treatment', 'quickly', 'after', 'you', 'notice', 'symptoms', 'that', 'are', 'all', 'the', 'more', 'difficult', 'to', 'treat', 'as', 'the', 'disease', 'spreads', 'throughout', 'the', 'body', '.']"
4197,"But the government wants to avoid the return of containment throughout the country at all costs , preferring for now to introduce a health pass that will take full effect on August 9 . The Delta variant and its rapid progression are a warning that should prompt action before more dangerous mutations appear , the World Health Organization ( who ) said on Friday .","['But', 'the', 'government', 'wants', 'to', 'avoid', 'the', 'return', 'of', 'containment', 'throughout', 'the', 'country', 'at', 'all', 'costs', ',', 'preferring', 'for', 'now', 'to', 'introduce', 'a', 'health', 'pass', 'that', 'will', 'take', 'full', 'effect', 'on', 'August', '9', '.', 'The', 'Delta', 'variant', 'and', 'its', 'rapid', 'progression', 'are', 'a', 'warning', 'that', 'should', 'prompt', 'action', 'before', 'more', 'dangerous', 'mutations', 'appear', ',', 'the', 'World', 'Health', 'Organization', '(', 'who', ')', 'said', 'on', 'Friday', '.']"
4198,""" The tracing contact made from the 6 cases initially reported thus revealed a chain of rapid contamination , considering both the large number of people who participated in these evenings and the festive context inherent in this type of establishment .","['""', 'The', 'tracing', 'contact', 'made', 'from', 'the', '6', 'cases', 'initially', 'reported', 'thus', 'revealed', 'a', 'chain', 'of', 'rapid', 'contamination', ',', 'considering', 'both', 'the', 'large', 'number', 'of', 'people', 'who', 'participated', 'in', 'these', 'evenings', 'and', 'the', 'festive', 'context', 'inherent', 'in', 'this', 'type', 'of', 'establishment', '.']"
4199,"For Wyoming , the female case represents the seventh reported case since 1978 , the last one recorded in 2008 . Pulmonary plague , a rare form a person can catch the plague in a number of ways , either through the bite of an infected chip , or through contact with infected animals or their tissues or bodily fluids .","['For', 'Wyoming', ',', 'the', 'female', 'case', 'represents', 'the', 'seventh', 'reported', 'case', 'since', '1978', ',', 'the', 'last', 'one', 'recorded', 'in', '2008', '.', 'Pulmonary', 'plague', ',', 'a', 'rare', 'form', 'a', 'person', 'can', 'catch', 'the', 'plague', 'in', 'a', 'number', 'of', 'ways', ',', 'either', 'through', 'the', 'bite', 'of', 'an', 'infected', 'chip', ',', 'or', 'through', 'contact', 'with', 'infected', 'animals', 'or', 'their', 'tissues', 'or', 'bodily', 'fluids', '.']"
4200,"Although students in some third - level colleges returned yesterday , she said the expectation is that the level of infection will not be high because so many of this age group are fully vaccinated .","['Although', 'students', 'in', 'some', 'third', '-', 'level', 'colleges', 'returned', 'yesterday', ',', 'she', 'said', 'the', 'expectation', 'is', 'that', 'the', 'level', 'of', 'infection', 'will', 'not', 'be', 'high', 'because', 'so', 'many', 'of', 'this', 'age', 'group', 'are', 'fully', 'vaccinated', '.']"
4201,People in close contact with poultry are more likely to get avian influenza .,"['People', 'in', 'close', 'contact', 'with', 'poultry', 'are', 'more', 'likely', 'to', 'get', 'avian', 'influenza', '.']"
4202,Mosquitoes in 21 CT Towns Test positive for West Nile Virus - NBC Connecticut mosquitoes in 21 CT Towns Test Positive for West Nile Virus NBC Connecticut .,"['Mosquitoes', 'in', '21', 'CT', 'Towns', 'Test', 'positive', 'for', 'West', 'Nile', 'Virus', '-', 'NBC', 'Connecticut', 'mosquitoes', 'in', '21', 'CT', 'Towns', 'Test', 'Positive', 'for', 'West', 'Nile', 'Virus', 'NBC', 'Connecticut', '.']"
4203,Bars and restaurants should now be closed at 23 PM . A measure also in force in the Pyrenees - Orientales until at least 2 August .,"['Bars', 'and', 'restaurants', 'should', 'now', 'be', 'closed', 'at', '23', 'PM', '.', 'A', 'measure', 'also', 'in', 'force', 'in', 'the', 'Pyrenees', '-', 'Orientales', 'until', 'at', 'least', '2', 'August', '.']"
4204,""" The investigation initiated since August 4 , 2021 , into the case did not reveal any suspected cases of Marburg fever .","['""', 'The', 'investigation', 'initiated', 'since', 'August', '4', ',', '2021', ',', 'into', 'the', 'case', 'did', 'not', 'reveal', 'any', 'suspected', 'cases', 'of', 'Marburg', 'fever', '.']"
4205,"In their view , the strategy to combat the health crisis must be respectful of the dignity , freedom and fundamental rights of the human person .","['In', 'their', 'view', ',', 'the', 'strategy', 'to', 'combat', 'the', 'health', 'crisis', 'must', 'be', 'respectful', 'of', 'the', 'dignity', ',', 'freedom', 'and', 'fundamental', 'rights', 'of', 'the', 'human', 'person', '.']"
4206,The Delta variant always remains the majority .,"['The', 'Delta', 'variant', 'always', 'remains', 'the', 'majority', '.']"
4207,""" By definition , everything is possible , "" says Matignon .","['""', 'By', 'definition', ',', 'everything', 'is', 'possible', ',', '""', 'says', 'Matignon', '.']"
4208,"Of these , 121 are not vaccinated , B.C. Health Minister Adrian Dix said in a news briefing on Tuesday .","['Of', 'these', ',', '121', 'are', 'not', 'vaccinated', ',', 'B.C.', 'Health', 'Minister', 'Adrian', 'Dix', 'said', 'in', 'a', 'news', 'briefing', 'on', 'Tuesday', '.']"
4209,""" An increase in the number of positive test results for COVID-19 has been observed among travellers arriving in Canada from Morocco in the past month , "" Transport Canada notes in a press release issued Saturday .","['""', 'An', 'increase', 'in', 'the', 'number', 'of', 'positive', 'test', 'results', 'for', 'COVID-19', 'has', 'been', 'observed', 'among', 'travellers', 'arriving', 'in', 'Canada', 'from', 'Morocco', 'in', 'the', 'past', 'month', ',', '""', 'Transport', 'Canada', 'notes', 'in', 'a', 'press', 'release', 'issued', 'Saturday', '.']"
4210,""" THE team has sought all of its close contacts and is not expecting any further impact on its functioning for the remainder of the event .","['""', 'THE', 'team', 'has', 'sought', 'all', 'of', 'its', 'close', 'contacts', 'and', 'is', 'not', 'expecting', 'any', 'further', 'impact', 'on', 'its', 'functioning', 'for', 'the', 'remainder', 'of', 'the', 'event', '.']"
4211,Importers say they are no longer able to obtain the dollars needed to purchase certain products and drugs authorized .,"['Importers', 'say', 'they', 'are', 'no', 'longer', 'able', 'to', 'obtain', 'the', 'dollars', 'needed', 'to', 'purchase', 'certain', 'products', 'and', 'drugs', 'authorized', '.']"
4212,The contamination is carried out by air for the pulmonary plague .,"['The', 'contamination', 'is', 'carried', 'out', 'by', 'air', 'for', 'the', 'pulmonary', 'plague', '.']"
4213,"The driver of the vehicle that transported the young Guinean , who returned from Abidjan , is part of these contact cases , he stressed .","['The', 'driver', 'of', 'the', 'vehicle', 'that', 'transported', 'the', 'young', 'Guinean', ',', 'who', 'returned', 'from', 'Abidjan', ',', 'is', 'part', 'of', 'these', 'contact', 'cases', ',', 'he', 'stressed', '.']"
4214,"In Germany , the incidence rate is increasing in all age groups .","['In', 'Germany', ',', 'the', 'incidence', 'rate', 'is', 'increasing', 'in', 'all', 'age', 'groups', '.']"
4215,Can't da buthnem tuyunewata industry .,"[""Can't"", 'da', 'buthnem', 'tuyunewata', 'industry', '.']"
4216,"Vaccines remain extremely effective in preventing hospitalization and death , and infections among immune people remain rare .","['Vaccines', 'remain', 'extremely', 'effective', 'in', 'preventing', 'hospitalization', 'and', 'death', ',', 'and', 'infections', 'among', 'immune', 'people', 'remain', 'rare', '.']"
4217,"[ LISTEN ] Marburg virus death rate is very high , 50 % of infected people die - 702 [ LISTEN ] Marburg virus death rate is very high , 50 % of infected people die 702 [ LISTEN ] Marburg virus death rate is very high , 50 % of infected people die Refiloe Mpakanyane speaks to Proactive Health Solutions CEO Dr Fundile Nyati about the Marburg virus .","['[', 'LISTEN', ']', 'Marburg', 'virus', 'death', 'rate', 'is', 'very', 'high', ',', '50', '%', 'of', 'infected', 'people', 'die', '-', '702', '[', 'LISTEN', ']', 'Marburg', 'virus', 'death', 'rate', 'is', 'very', 'high', ',', '50', '%', 'of', 'infected', 'people', 'die', '702', '[', 'LISTEN', ']', 'Marburg', 'virus', 'death', 'rate', 'is', 'very', 'high', ',', '50', '%', 'of', 'infected', 'people', 'die', 'Refiloe', 'Mpakanyane', 'speaks', 'to', 'Proactive', 'Health', 'Solutions', 'CEO', 'Dr', 'Fundile', 'Nyati', 'about', 'the', 'Marburg', 'virus', '.']"
4218,Yonhap News TV News Agency jebo23 News Agency .,"['Yonhap', 'News', 'TV', 'News', 'Agency', 'jebo23', 'News', 'Agency', '.']"
4219,"They added , besides the 22 corpses of those who had perished from COVID-19 , a further unidentified five corpses and 19 other corpses had piled up at the hospital premises .","['They', 'added', ',', 'besides', 'the', '22', 'corpses', 'of', 'those', 'who', 'had', 'perished', 'from', 'COVID-19', ',', 'a', 'further', 'unidentified', 'five', 'corpses', 'and', '19', 'other', 'corpses', 'had', 'piled', 'up', 'at', 'the', 'hospital', 'premises', '.']"
4220,World newsletters Mobile Apps Subscription follow the world .,"['World', 'newsletters', 'Mobile', 'Apps', 'Subscription', 'follow', 'the', 'world', '.']"
4221,"Ozzie has moderate symptoms , told Sam Rivera daily .","['Ozzie', 'has', 'moderate', 'symptoms', ',', 'told', 'Sam', 'Rivera', 'daily', '.']"
4222,"The patient is currently undergoing treatment in a hospital in Abidjan , while an Ebola vaccination operation for health workers began on Monday .","['The', 'patient', 'is', 'currently', 'undergoing', 'treatment', 'in', 'a', 'hospital', 'in', 'Abidjan', ',', 'while', 'an', 'Ebola', 'vaccination', 'operation', 'for', 'health', 'workers', 'began', 'on', 'Monday', '.']"
4223,"Photo archives AFP two Aboriginal cases of dengue fever , without any link between them , were detected in the Var this summer .","['Photo', 'archives', 'AFP', 'two', 'Aboriginal', 'cases', 'of', 'dengue', 'fever', ',', 'without', 'any', 'link', 'between', 'them', ',', 'were', 'detected', 'in', 'the', 'Var', 'this', 'summer', '.']"
4224,"Shedding of viruses in the respiratory tract can be transient , so delays in specimen collection could contribute to negative findings .","['Shedding', 'of', 'viruses', 'in', 'the', 'respiratory', 'tract', 'can', 'be', 'transient', ',', 'so', 'delays', 'in', 'specimen', 'collection', 'could', 'contribute', 'to', 'negative', 'findings', '.']"
4225,"Photo : The Canadian Press / Nathan Denette the number of new cases of coronavirus is increasing slightly in Ontario , while public health is encouraging young people in particular to get vaccinated quickly .","['Photo', ':', 'The', 'Canadian', 'Press', '/', 'Nathan', 'Denette', 'the', 'number', 'of', 'new', 'cases', 'of', 'coronavirus', 'is', 'increasing', 'slightly', 'in', 'Ontario', ',', 'while', 'public', 'health', 'is', 'encouraging', 'young', 'people', 'in', 'particular', 'to', 'get', 'vaccinated', 'quickly', '.']"
4226,"Until now , the archipelago had managed to control its borders easily .","['Until', 'now', ',', 'the', 'archipelago', 'had', 'managed', 'to', 'control', 'its', 'borders', 'easily', '.']"
4227,"Any suspicious case must be systematically notified , and a sampling for analysis must be carried out and then handled in accordance with the directives , underlines the note .","['Any', 'suspicious', 'case', 'must', 'be', 'systematically', 'notified', ',', 'and', 'a', 'sampling', 'for', 'analysis', 'must', 'be', 'carried', 'out', 'and', 'then', 'handled', 'in', 'accordance', 'with', 'the', 'directives', ',', 'underlines', 'the', 'note', '.']"
4228,"Two assumptions are made to explain this : In bars , which are among the places most cited by infected people , many strangers meet , whose identification is almost impossible .","['Two', 'assumptions', 'are', 'made', 'to', 'explain', 'this', ':', 'In', 'bars', ',', 'which', 'are', 'among', 'the', 'places', 'most', 'cited', 'by', 'infected', 'people', ',', 'many', 'strangers', 'meet', ',', 'whose', 'identification', 'is', 'almost', 'impossible', '.']"
